word,trans,kk,level
a/an,一, /æn/,1
able,能；可以, /ˈebl/,1
about,關於, /əˈbaʊt/,1
above,在...上面, /əˈbʌv/,1
according to,根據, /əˈkɔrdɪŋ tu/,1
across,穿過, /əˈkrɔs/,1
act,扮演, /ækt/,1
action,行動, /ˈækʃən/,1
actor/actress,男演員/女演員, /ˈæktɚ/ /ˈæktrɪs/,1
add,添加, /æd/,1
address,地址, /əˈdrɛs/,1
adult,成年人, /əˈdʌlt/,1
afraid,害怕的, /əˈfred/,1
after,在...之後, /ˈæftɚ/,1
afternoon,下午, /ˌæftɚˈnun/,1
again,再次, /əˈɡɛn/,1
against,反對；對抗, /əˈɡɛnst/,1
age,年齡, /edʒ/,1
ago,之前, /əˈɡo/,1
agree,同意, /əˈɡri/,1
ahead,向前；提前, /əˈhɛd/,1
air,空氣, /ɛr/,1
airplane/plane,飛機, /ˈɛrˌplen/ /plen/,1
airport,機場, /ˈɛrˌpɔrt/,1
all,全部, /ɔl/,1
almost,幾乎, /ˈɔlˌmost/,1
along,沿著, /əˈlɔŋ/,1
already,已經, /ɔlˈrɛdi/,1
also,也, /ˈɔlso/,1
although,雖然, /ɔlˈðo/,1
always,總是, /ˈɔlwez/,1
ambulance,救護車, /ˈæmbjələns/,1
america,美國, /əˈmɛrəkə/,1
american,美國的；美國人, /əˈmɛrəkən/,1
and,和, /ænd/,1
angry,生氣的, /ˈæŋɡri/,1
animal,動物, /ˈænəməl/,1
another,另一個, /əˈnʌðɚ/,1
answer,回答, /ˈænsɚ/,1
any,任何, /ˈɛni/,1
anyone/anybody,任何人, /ˈɛniˌwʌn/ /ˈɛniˌbɑdi/,1
anything,任何事, /ˈɛniˌθɪŋ/,1
apartment,公寓, /əˈpɑrtmənt/,1
appear,出現, /əˈpɪr/,1
apple,蘋果, /ˈæpl/,1
april,四月, /ˈeprəl/,1
area,區域, /ˈɛriə/,1
arm,手臂, /ɑrm/,1
army,陸軍；軍隊, /ˈɑrmi/,1
around,在...周圍, /əˈraʊnd/,1
arrange,安排, /əˈrendʒ/,1
arrive,到達, /əˈraɪv/,1
art,藝術, /ɑrt/,1
artist,藝術家, /ˈɑrtɪst/,1
as,作為；當...時, /æz/,1
ask,詢問；要求, /æsk/,1
at,在, /æt/,1
attack,攻擊, /əˈtæk/,1
august,八月, /ˈɔɡəst/,1
aunt,伯母；姑母；姨母, /ænt/,1
autumn/fall,秋天, /ˈɔtəm/ /fɔl/,1
away,離開, /əˈwe/,1
baby,嬰兒, /ˈbebi/,1
back,背部；後面, /bæk/,1
bad,壞的, /bæd/,1
bag,包包, /bæɡ/,1
bakery,麵包店, /ˈbekəri/,1
balcony,陽台, /ˈbælkəni/,1
ball,球, /bɔl/,1
banana,香蕉, /bəˈnænə/,1
band,樂團, /bænd/,1
bank,銀行, /bæŋk/,1
barbecue,烤肉, /ˈbɑrbɪˌkju/,1
baseball,棒球, /ˈbesˌbɔl/,1
basket,籃子, /ˈbæskɪt/,1
basketball,籃球, /ˈbæskətˌbɔl/,1
bat,球棒；蝙蝠, /bæt/,1
bath,洗澡, /bæθ/,1
bathroom,浴室, /ˈbæθˌrum/,1
be,是；存在, /bi/,1
beach,海灘, /bitʃ/,1
bear,熊；承受, /bɛr/,1
beautiful,美麗的, /ˈbjutəfəl/,1
because,因為, /bɪˈkɔz/,1
become,成為, /bɪˈkʌm/,1
bed,床, /bɛd/,1
bedroom,臥室, /ˈbɛdˌrum/,1
bee,蜜蜂, /bi/,1
beef,牛肉, /bif/,1
before,在...之前, /bɪˈfɔr/,1
begin,開始, /bɪˈɡɪn/,1
beginner,初學者, /bɪˈɡɪnɚ/,1
behind,在...後面, /bɪˈhaɪnd/,1
believe,相信, /bəˈliv/,1
bell,鈴；鐘, /bɛl/,1
belong,屬於, /bɪˈlɔŋ/,1
below,在...下面, /bəˈlo/,1
belt,皮帶, /bɛlt/,1
bench,長椅, /bɛntʃ/,1
beside,在...旁邊, /bɪˈsaɪd/,1
besides,此外；除了..., /bɪˈsaɪdz/,1
between,在...之間, /bəˈtwin/,1
bicycle/bike,腳踏車, /ˈbaɪsɪkl/ /baɪk/,1
big,大的, /bɪɡ/,1
bill,帳單；鈔票, /bɪl/,1
bird,鳥, /bɝd/,1
birthday,生日, /ˈbɝθˌde/,1
bite,咬, /baɪt/,1
bitter,苦的, /ˈbɪtɚ/,1
black,黑色的, /blæk/,1
blackboard,黑板, /ˈblækˌbɔrd/,1
blanket,毯子, /ˈblæŋkɪt/,1
blind,失明的, /blaɪnd/,1
block,街區；阻塞, /blɑk/,1
blow,吹, /blo/,1
blue,藍色的, /blu/,1
boat,小船, /bot/,1
body,身體, /ˈbɑdi/,1
boiled,煮沸的；水煮的, /bɔɪld/,1
book,書本；預訂, /bʊk/,1
bookstore,書店, /ˈbʊkˌstɔr/,1
bored,感到無聊的, /bɔrd/,1
boring,令人無聊的, /ˈbɔrɪŋ/,1
born,出生, /bɔrn/,1
