
id,idiom,meaning
1,一鳴驚人,比喻平時默默無聞，而後突然有驚人的表現。
2,臥薪嘗膽,比喻刻苦自勵，發憤圖強。
3,愚公移山,比喻做事有決心，不怕艱難。
4,鍥而不捨,比喻有恆心、有毅力，不斷地努力。
5,發憤圖強,下決心努力謀求強盛。
6,蓄勢待發,積蓄力量，等待時機發動。
7,孜孜不倦,勤勉而不知疲倦。
8,手不釋卷,書本不離手，形容勤奮好學。
9,發奮忘食,努力學習或工作而忘記了吃飯。
10,聞雞起舞,比喻意志堅強，有志之士及時奮起。
11,好學不倦,喜愛學習而不知疲倦。
12,篤學好古,專心好學，喜愛古代文獻。
13,聚精會神,集中精神，專心致志。
14,全力以赴,把全部力量都投入進去。
15,精益求精,好了還要更好。
16,百折不撓,意志堅強，雖受挫折也不屈服。
17,自強不息,自己努力向上，永不懈怠。
18,中流砥柱,比喻能獨立支撐大局的力量或人物。
19,砥礪前行,經歷磨煉，克服困難，繼續前進。
20,苦盡甘來,艱難的日子過去，美好的日子到來。
21,實事求是,從實際情況出發，不誇大、不縮小。
22,腳踏實地,比喻做事認真、踏實，不浮誇。
23,見賢思齊,見到賢能的人就向他看齊。
24,謙受益，滿招損,謙虛能得到益處，驕傲會招致損失。
25,防微杜漸,在錯誤或壞事剛露苗頭時就加以阻止。
26,居安思危,處在平安的環境中，要想到可能出現的危險。
27,未雨綢繆,比喻事先做好準備。
28,循序漸進,按照一定的順序、步驟逐漸進步。
29,持之以恆,長久堅持下去，不半途而廢。
30,厚積薄發,大量積蓄，少量慢慢釋放（多指才學）。
31,標本兼治,從根本上和表面上同時治理。
32,游刃有餘,比喻做事熟練，順理成章，輕鬆毫無困難。
33,事半功倍,花費一半的力氣，得到加倍的成效。
34,井井有條,形容條理分明，絲毫不亂。
35,穩扎穩打,比喻有把握、有步驟地做事。
36,謀定而後動,計畫周密後才採取行動。
37,雷厲風行,比喻執行政策法令嚴格迅速，也形容做事果斷。
38,一氣呵成,比喻文章氣勢貫通或做事流暢不中斷。
39,千方百計,想盡一切辦法。
40,得心應手,心裡怎麼想，手就能怎麼做，形容運用自如。
41,融會貫通,把各方面的知識和道理融化貫穿，得到全面透徹的理解。
42,博古通今,對古代和現代的知識都有很深的了解。
43,舉一反三,從一件事情的類推，而知道許多同類的事情。
44,深謀遠慮,計劃得很深遠，考慮得很周全。
45,觸類旁通,掌握了某一事物的規律，從而推知同類事物的規律。
46,心領神會,不用言語表達，心裡就能領會。
47,大智若愚,真正有智慧的人，表面上看來好像很愚笨。
48,高瞻遠矚,站得高，看得遠，比喻眼光遠大。
