word, trans, kk, level
is, 是, /ɪz/, universal
are, 是, /ɑr/, universal
does, 做, /dʌz/, universal
dreams, 夢想, /drimz/, universal
spaces, 空間, /ˈspesɪz/, universal
Scarborough, 史卡波羅 (地名), /ˈskɑr.bə.roʊ/, universal
going, 進行中 / 去 / 離開, /ˈɡoʊ.ɪŋ/, universal
Parsley, 洋香菜 / 巴西里, /ˈpɑr.sli/, universal
sage, 鼠尾草 / 聖人, /seɪdʒ/, universal
rosemary, 迷迭香, /ˈroʊz.mer.i/, universal
thyme, 百里香, /taɪm/, universal
lives, 生活 / 居住, /lɪvz/, universal
was, 是 (am/is 的過去式), /wʌz/, universal
a, 一個 (不定冠詞), /ə/, universal
